datetime,open,high,low,close,volume
2024-01-01 00:00:00,1.08000000,1.08100000,1.07950000,1.08050000,1000
2024-01-01 01:00:00,1.08050000,1.08150000,1.08000000,1.08100000,1001
2024-01-01 02:00:00,1.08100000,1.08200000,1.08050000,1.08150000,1002
2024-01-01 03:00:00,1.08150000,1.08250000,1.08100000,1.08200000,1003
2024-01-01 04:00:00,1.08200000,1.08300000,1.08150000,1.08250000,1004
2024-01-01 05:00:00,1.08250000,1.08350000,1.08200000,1.08300000,1005
2024-01-01 06:00:00,1.08300000,1.08400000,1.08250000,1.08350000,1006
2024-01-01 07:00:00,1.08350000,1.08450000,1.08300000,1.08400000,1007
2024-01-01 08:00:00,1.08400000,1.08500000,1.08350000,1.08450000,1008
2024-01-01 09:00:00,1.08450000,1.08550000,1.08400000,1.08500000,1009
2024-01-01 10:00:00,1.08500000,1.08600000,1.08450000,1.08550000,1010
2024-01-01 11:00:00,1.08550000,1.08650000,1.08500000,1.08600000,1011
2024-01-01 12:00:00,1.08600000,1.08700000,1.08550000,1.08650000,1012
2024-01-01 13:00:00,1.08650000,1.08750000,1.08600000,1.08700000,1013
2024-01-01 14:00:00,1.08700000,1.08800000,1.08650000,1.08750000,1014
2024-01-01 15:00:00,1.08750000,1.08850000,1.08700000,1.08800000,1015
2024-01-01 16:00:00,1.08800000,1.08900000,1.08750000,1.08850000,1016
2024-01-01 17:00:00,1.08850000,1.08950000,1.08800000,1.08900000,1017
2024-01-01 18:00:00,1.08900000,1.08950000,1.08800000,1.08850000,1018
2024-01-01 19:00:00,1.08850000,1.08900000,1.08750000,1.08800000,1019
2024-01-01 20:00:00,1.08800000,1.08850000,1.08700000,1.08750000,1020
2024-01-01 21:00:00,1.08750000,1.08800000,1.08650000,1.08700000,1021
2024-01-01 22:00:00,1.08700000,1.08750000,1.08600000,1.08650000,1022
2024-01-01 23:00:00,1.08650000,1.08700000,1.08550000,1.08600000,1023
2024-01-02 00:00:00,1.08600000,1.08650000,1.08500000,1.08550000,1024
2024-01-02 01:00:00,1.08550000,1.08600000,1.08450000,1.08500000,1025
2024-01-02 02:00:00,1.08500000,1.08550000,1.08400000,1.08450000,1026
2024-01-02 03:00:00,1.08450000,1.08500000,1.08350000,1.08400000,1027
2024-01-02 04:00:00,1.08400000,1.08450000,1.08300000,1.08350000,1028
2024-01-02 05:00:00,1.08350000,1.08400000,1.08250000,1.08300000,1029
2024-01-02 06:00:00,1.08300000,1.08350000,1.08200000,1.08250000,1030
2024-01-02 07:00:00,1.08250000,1.08300000,1.08150000,1.08200000,1031
2024-01-02 08:00:00,1.08200000,1.08250000,1.08100000,1.08150000,1032
2024-01-02 09:00:00,1.08150000,1.08200000,1.08050000,1.08100000,1033
2024-01-02 10:00:00,1.08100000,1.08150000,1.08000000,1.08050000,1034
2024-01-02 11:00:00,1.08050000,1.08100000,1.07950000,1.08000000,1035
2024-01-02 12:00:00,1.08000000,1.08100000,1.07950000,1.08050000,1036
2024-01-02 13:00:00,1.08050000,1.08150000,1.08000000,1.08100000,1037
2024-01-02 14:00:00,1.08100000,1.08200000,1.08050000,1.08150000,1038
2024-01-02 15:00:00,1.08150000,1.08250000,1.08100000,1.08200000,1039
2024-01-02 16:00:00,1.08200000,1.08300000,1.08150000,1.08250000,1040
2024-01-02 17:00:00,1.08250000,1.08350000,1.08200000,1.08300000,1041
2024-01-02 18:00:00,1.08300000,1.08400000,1.08250000,1.08350000,1042
2024-01-02 19:00:00,1.08350000,1.08450000,1.08300000,1.08400000,1043
2024-01-02 20:00:00,1.08400000,1.08500000,1.08350000,1.08450000,1044
2024-01-02 21:00:00,1.08450000,1.08550000,1.08400000,1.08500000,1045
2024-01-02 22:00:00,1.08500000,1.08600000,1.08450000,1.08550000,1046
2024-01-02 23:00:00,1.08550000,1.08650000,1.08500000,1.08600000,1047
2024-01-03 00:00:00,1.08600000,1.08700000,1.08550000,1.08650000,1048
2024-01-03 01:00:00,1.08650000,1.08750000,1.08600000,1.08700000,1049
2024-01-03 02:00:00,1.08700000,1.08800000,1.08650000,1.08750000,1050
2024-01-03 03:00:00,1.08750000,1.08850000,1.08700000,1.08800000,1051
2024-01-03 04:00:00,1.08800000,1.08900000,1.08750000,1.08850000,1052
2024-01-03 05:00:00,1.08850000,1.08950000,1.08800000,1.08900000,1053
2024-01-03 06:00:00,1.08900000,1.08950000,1.08800000,1.08850000,1054
2024-01-03 07:00:00,1.08850000,1.08900000,1.08750000,1.08800000,1055
2024-01-03 08:00:00,1.08800000,1.08850000,1.08700000,1.08750000,1056
2024-01-03 09:00:00,1.08750000,1.08800000,1.08650000,1.08700000,1057
2024-01-03 10:00:00,1.08700000,1.08750000,1.08600000,1.08650000,1058
2024-01-03 11:00:00,1.08650000,1.08700000,1.08550000,1.08600000,1059
2024-01-03 12:00:00,1.08600000,1.08650000,1.08500000,1.08550000,1060
2024-01-03 13:00:00,1.08550000,1.08600000,1.08450000,1.08500000,1061
2024-01-03 14:00:00,1.08500000,1.08550000,1.08400000,1.08450000,1062
2024-01-03 15:00:00,1.08450000,1.08500000,1.08350000,1.08400000,1063
2024-01-03 16:00:00,1.08400000,1.08450000,1.08300000,1.08350000,1064
2024-01-03 17:00:00,1.08350000,1.08400000,1.08250000,1.08300000,1065
2024-01-03 18:00:00,1.08300000,1.08350000,1.08200000,1.08250000,1066
2024-01-03 19:00:00,1.08250000,1.08300000,1.08150000,1.08200000,1067
2024-01-03 20:00:00,1.08200000,1.08250000,1.08100000,1.08150000,1068
2024-01-03 21:00:00,1.08150000,1.08200000,1.08050000,1.08100000,1069
2024-01-03 22:00:00,1.08100000,1.08350000,1.08050000,1.08300000,1070
2024-01-03 23:00:00,1.08300000,1.08350000,1.08200000,1.08250000,1071
2024-01-04 00:00:00,1.08250000,1.08350000,1.08200000,1.08300000,1072
2024-01-04 01:00:00,1.08300000,1.08400000,1.08250000,1.08350000,1073
2024-01-04 02:00:00,1.08350000,1.08450000,1.08300000,1.08400000,1074
2024-01-04 03:00:00,1.08400000,1.08500000,1.08350000,1.08450000,1075
2024-01-04 04:00:00,1.08450000,1.08550000,1.08400000,1.08500000,1076
2024-01-04 05:00:00,1.08500000,1.08600000,1.08450000,1.08550000,1077
2024-01-04 06:00:00,1.08550000,1.08650000,1.08500000,1.08600000,1078
2024-01-04 07:00:00,1.08600000,1.08700000,1.08550000,1.08650000,1079
2024-01-04 08:00:00,1.08650000,1.08750000,1.08600000,1.08700000,1080
2024-01-04 09:00:00,1.08700000,1.08800000,1.08650000,1.08750000,1081
2024-01-04 10:00:00,1.08750000,1.08850000,1.08700000,1.08800000,1082
2024-01-04 11:00:00,1.08800000,1.08900000,1.08750000,1.08850000,1083
2024-01-04 12:00:00,1.08850000,1.08950000,1.08800000,1.08900000,1084
2024-01-04 13:00:00,1.08900000,1.09000000,1.08850000,1.08950000,1085
2024-01-04 14:00:00,1.08950000,1.09050000,1.08900000,1.09000000,1086
2024-01-04 15:00:00,1.09000000,1.09100000,1.08950000,1.09050000,1087
2024-01-04 16:00:00,1.09050000,1.09150000,1.09000000,1.09100000,1088
2024-01-04 17:00:00,1.09100000,1.09200000,1.09050000,1.09150000,1089
2024-01-04 18:00:00,1.09150000,1.09200000,1.09050000,1.09100000,1090
2024-01-04 19:00:00,1.09100000,1.09150000,1.09000000,1.09050000,1091
2024-01-04 20:00:00,1.09050000,1.09100000,1.08950000,1.09000000,1092
2024-01-04 21:00:00,1.09000000,1.09050000,1.08900000,1.08950000,1093
2024-01-04 22:00:00,1.08950000,1.09000000,1.08850000,1.08900000,1094
2024-01-04 23:00:00,1.08900000,1.08950000,1.08800000,1.08850000,1095
